Ablation Type,Variation,Model,Test AUC,Test AP,Best Epoch
feature,Full Features,Full Features,0.7944163818260899,0.8024172059597399,50
feature,Demographics Only,Demographics Only,0.7862704415190992,0.7762066547558701,5
feature,No Demographics,No Demographics,0.7712809327913581,0.7576221232671824,5
feature,Random Features,Random Features,0.7945543336809888,0.7925496712486358,50
depth,1,1-Layer GCN,0.6618899553336346,0.6371858040564815,40
depth,2,2-Layer GCN,0.7923691553611287,0.8003563669562066,50
depth,3,3-Layer GCN,0.8002042226552566,0.7884396244160037,10
depth,4,4-Layer GCN,0.8036016480866471,0.7954451576160937,5
data_size,0.1,GCN-10%data,0.808202831006956,0.8113410733696955,95
data_size,0.25,GCN-25%data,0.808170954309152,0.8141267999412218,85
data_size,0.5,GCN-50%data,0.8058545448349305,0.8102172462284476,80
data_size,0.75,GCN-75%data,0.8002096678065423,0.8057688320423158,55
data_size,1.0,GCN-100%data,0.8033913268619506,0.8111478477323145,95
aggregator,mean,GraphSAGE-mean,0.7500977479865094,0.7346489870533234,45
aggregator,max,GraphSAGE-max,0.7937781378944793,0.7871198898839153,50
attention_heads,1,GAT-1heads,0.6219137724855266,0.5889420651559945,50
attention_heads,2,GAT-2heads,0.6712171023814553,0.632419169606341,50
attention_heads,4,GAT-4heads,0.6925629076823876,0.661386151292495,50
attention_heads,8,GAT-8heads,0.6564252737039891,0.6234037871487859,50
