condition_concept_id,concept_name,occurrences,frequency
4233565,Severe protein-calorie malnutrition (Gomez: less than 60 percent of standard weight),120,0.06514657980456026
436078,Malnutrition of moderate degree (Gomez: 60 percent to less than 75 percent of standard weight),12,0.006514657980456026
4156515,Malnutrition (calorie),61,0.03311617806731813
435788,Disorder of phosphorus metabolism,101,0.054831704668838216
437828,Disorder of calcium metabolism,10,0.0054288816503800215
437833,Hypokalemia,178,0.09663409337676439
433740,Immunodeficiency disorder,95,0.05157437567861021
432596,Immune defect,30,0.016286644951140065
374915,Localization-related epilepsy,12,0.006514657980456026
372309,Mononeuritis,47,0.025515743756786103
316993,Tricuspid valve disorder,41,0.02225841476655809
433208,Disorder of pulmonary circulation,26,0.014115092290988056
314379,First degree atrioventricular block,79,0.04288816503800217
443587,Diastolic heart failure,25,0.013572204125950055
40479576,Chronic diastolic heart failure,81,0.043973941368078175
40481043,Acute on chronic diastolic heart failure,36,0.019543973941368076
316139,Heart failure,162,0.08794788273615635
437312,Bleeding,75,0.04071661237785016
438791,Pulmonary congestion and hypostasis,103,0.05591748099891422
252662,Tracheobronchial disorder,13,0.007057546145494028
198124,Kidney disease,34,0.018458197611292075
79864,Hematuria syndrome,113,0.061346362649294245
75004,Frank hematuria,29,0.015743756786102063
80767,Breast lump,58,0.031487513572204126
201909,Female infertility,21,0.011400651465798045
444094,Finding related to pregnancy,150,0.08143322475570032
440457,Threatened miscarriage,22,0.011943539630836048
4041280,Postpartum finding,31,0.016829533116178068
439393,Pre-eclampsia,13,0.007057546145494028
444114,Maternal AND/OR fetal condition affecting labor AND/OR delivery,80,0.04343105320304017
4060424,"Mental disorders during pregnancy, childbirth and the puerperium",20,0.010857763300760043
43530950,Complication occurring during pregnancy,65,0.03528773072747014
42872398,"Maternal obesity complicating pregnancy, childbirth and the puerperium, antepartum",11,0.005971769815418024
77619,Reduced fetal movement,19,0.01031487513572204
433270,Cord entanglement without compression,31,0.016829533116178068
257628,Systemic lupus erythematosus,43,0.023344191096634093
321109,Congenital anomaly of coronary artery,17,0.009229098805646038
312723,Congenital heart disease,22,0.011943539630836048
438867,Generalized aches and pains,51,0.02768729641693811
438567,Adult failure to thrive syndrome,67,0.03637350705754615
435642,Disturbance in speech,22,0.011943539630836048
315078,Palpitations,144,0.0781758957654723
77987,Respiratory finding of chest,17,0.009229098805646038
197988,Generalized abdominal pain,161,0.08740499457111835
200528,Ascites,184,0.0998914223669924
132736,Bacteremia,105,0.057003257328990226
75650,Proteinuria,45,0.024429967426710098
4167864,Effect of exposure to physical force,11,0.005971769815418024
40482236,Dehiscence of internal surgical wound,18,0.009771986970684038
434281,Aspergillosis,15,0.008143322475570033
4001171,Liver cell carcinoma,14,0.00760043431053203
376647,Primary malignant neoplasm of soft tissues,21,0.011400651465798045
137809,Primary malignant neoplasm of female breast,58,0.031487513572204126
380055,Primary malignant neoplasm of brain,12,0.006514657980456026
439392,Primary malignant neoplasm,73,0.039630836047774155
46270513,Secondary malignant neoplasm of right lung,27,0.014657980456026058
78097,Secondary malignant neoplasm of bone,76,0.04125950054288816
